sku,type,product_name,image_count,images_applied
CTK10,variation,Columbia Stainless Steel Taping Knife with Soft Grip Handle,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-taping-knives-10-CTK10-01.webp
CTK12,variation,Columbia Stainless Steel Taping Knife with Soft Grip Handle,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-taping-knives-12-CTK12-01.webp
CTK14,variation,Columbia Stainless Steel Taping Knife with Soft Grip Handle,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-taping-knives-14-CTK14-01.webp
COL-STD-FLUSHER,variable,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4S
2.5SF,variation,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp
3SF,variation,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp
3WTSF,variation,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp
3.5SF,variation,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp
4SF,variation,Columbia Standard Flusher,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-4-4SF-01.webp
TBBF,simple,Columbia Tall Boy Box Filler,6,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-filler-bf-BF-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-filler-tbbf-TBBF-01.webp | https://dr
TBGN,simple,Columbia Tall Boy Gooseneck,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-gooseneck-tbgn-TBGN-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tall-boy-mud-pump-TBMP-01.webp
TBMP,simple,Columbia Tall Boy Mud Pump (TBMP),1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tall-boy-mud-pump-TBMP-01.webp
